package	version	filename	url	sha256	requested
requests	2.32.5	requests-2.32.5-py3-none-any.whl	https://files.pythonhosted.org/packages/1e/db/4254e3eabe8020b458f1a747140d32277ec7a271daf1d235b70dc0b4e6e3/requests-2.32.5-py3-none-any.whl	2462f94637a34fd532264295e186976db0f5d453d1cdd31473c85a6a161affb6	false
rich	14.3.2	rich-14.3.2-py3-none-any.whl	https://files.pythonhosted.org/packages/ef/45/615f5babd880b4bd7d405cc0dc348234c5ffb6ed1ea33e152ede08b2072d/rich-14.3.2-py3-none-any.whl	08e67c3e90884651da3239ea668222d19bea7b589149d8014a21c633420dbb69	false
rpds-py	0.30.0	rpds_py-0.30.0-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/60/1b/6f8f29f3f995c7ffdde46a626ddccd7c63aefc0efae881dc13b6e5d5bb16/rpds_py-0.30.0-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	47f236970bccb2233267d89173d3ad2703cd36a0e2a6e92d0560d333871a3d23	false
scipy	1.15.3	scipy-1.15.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/0b/1f/03f52c282437a168ee2c7c14a1a0d0781a9a4a8962d84ac05c06b4c5b555/scipy-1.15.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	271e3713e645149ea5ea3e97b57fdab61ce61333f97cfae392c28ba786f9bb49	false
shellingham	1.5.4	shellingham-1.5.4-py2.py3-none-any.whl	https://files.pythonhosted.org/packages/e0/f9/0595336914c5619e5f28a1fb793285925a8cd4b432c9da0a987836c7f822/shellingham-1.5.4-py2.py3-none-any.whl	7ecfff8f2fd72616f7481040475a65b2bf8af90a56c89140852d1120324e8686	false
shtab	1.8.0	shtab-1.8.0-py3-none-any.whl	https://files.pythonhosted.org/packages/8e/e1/202a31727b0d096a04380f78e809074d7a1d0a22d9d5a39fea1d2353fd02/shtab-1.8.0-py3-none-any.whl	f0922a82174b4007e06ac0bac4f79abd826c5cca88e201bfd927f889803c571d	false
six	1.17.0	six-1.17.0-py2.py3-none-any.whl	https://files.pythonhosted.org/packages/b7/ce/149a00dd41f10bc29e5921b496af8b574d8413afcd5e30dfa0ed46c2cc5e/six-1.17.0-py2.py3-none-any.whl	4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274	false
smmap	5.0.2	smmap-5.0.2-py3-none-any.whl	https://files.pythonhosted.org/packages/04/be/d09147ad1ec7934636ad912901c5fd7667e1c858e19d355237db0d0cd5e4/smmap-5.0.2-py3-none-any.whl	b30115f0def7d7531d22a0fb6502488d879e75b260a9db4d0819cfb25403af5e	false
sniffio	1.3.1	sniffio-1.3.1-py3-none-any.whl	https://files.pythonhosted.org/packages/e9/44/75a9c9421471a6c4805dbf2356f7c181a29c1879239abab1ea2cc8f38b40/sniffio-1.3.1-py3-none-any.whl	2f6da418d1f1e0fddd844478f41680e794e6051915791a034ff65e5f100525a2	false
socksio	1.0.0	socksio-1.0.0-py3-none-any.whl	https://files.pythonhosted.org/packages/37/c3/6eeb6034408dac0fa653d126c9204ade96b819c936e136c5e8a6897eee9c/socksio-1.0.0-py3-none-any.whl	95dc1f15f9b34e8d7b16f06d74b8ccf48f609af32ab33c608d08761c5dcbb1f3	false
sounddevice	0.5.5	sounddevice-0.5.5-py3-none-any.whl	https://files.pythonhosted.org/packages/1e/0a/478e441fd049002cf308520c0d62dd8333e7c6cc8d997f0dda07b9fbcc46/sounddevice-0.5.5-py3-none-any.whl	30ff99f6c107f49d25ad16a45cacd8d91c25a1bcdd3e81a206b921a3a6405b1f	false
soundfile	0.13.1	soundfile-0.13.1-py2.py3-none-manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/57/5e/70bdd9579b35003a489fc850b5047beeda26328053ebadc1fb60f320f7db/soundfile-0.13.1-py2.py3-none-manylinux_2_28_x86_64.whl	03267c4e493315294834a0870f31dbb3b28a95561b80b134f0bd3cf2d5f0e618	false
soupsieve	2.8.3	soupsieve-2.8.3-py3-none-any.whl	https://files.pythonhosted.org/packages/46/2c/1462b1d0a634697ae9e55b3cecdcb64788e8b7d63f54d923fcd0bb140aed/soupsieve-2.8.3-py3-none-any.whl	ed64f2ba4eebeab06cc4962affce381647455978ffc1e36bb79a545b91f45a95	false
starlette	0.52.1	starlette-0.52.1-py3-none-any.whl	https://files.pythonhosted.org/packages/81/0d/13d1d239a25cbfb19e740db83143e95c772a1fe10202dda4b76792b114dd/starlette-0.52.1-py3-none-any.whl	0029d43eb3d273bc4f83a08720b4912ea4b071087a3b48db01b7c839f7954d74	false
tiktoken	0.12.0	tiktoken-0.12.0-cp312-cp312-manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/f4/90/3dae6cc5436137ebd38944d396b5849e167896fc2073da643a49f372dc4f/tiktoken-0.12.0-cp312-cp312-manylinux_2_28_x86_64.whl	edde1ec917dfd21c1f2f8046b86348b0f54a2c0547f68149d8600859598769ad	false
tokenizers	0.22.2	tokenizers-0.22.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/2e/76/932be4b50ef6ccedf9d3c6639b056a967a86258c6d9200643f01269211ca/tokenizers-0.22.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	369cc9fc8cc10cb24143873a0d95438bb8ee257bb80c71989e3ee290e8d72c67	false
tqdm	4.67.3	tqdm-4.67.3-py3-none-any.whl	https://files.pythonhosted.org/packages/16/e1/3079a9ff9b8e11b846c6ac5c8b5bfb7ff225eee721825310c91b3b50304f/tqdm-4.67.3-py3-none-any.whl	ee1e4c0e59148062281c49d80b25b67771a127c85fc9676d3be5f243206826bf	false
tree-sitter	0.25.2	tree_sitter-0.25.2-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/39/d1/b95f545e9fc5001b8a78636ef942a4e4e536580caa6a99e73dd0a02e87aa/tree_sitter-0.25.2-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	b43a9e4c89d4d0839de27cd4d6902d33396de700e9ff4c5ab7631f277a85ead9	false
tree-sitter-c-sharp	0.23.1	tree_sitter_c_sharp-0.23.1-cp310-abi3-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	https://files.pythonhosted.org/packages/67/18/0571a3a34c0feda60a9c37cf6dd5edfdbc24f8fcb1e48b6b6eb0f324ad2a/tree_sitter_c_sharp-0.23.1-cp310-abi3-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	035d259e64c41d02cc45afc3b8b46388b232e7d16d84734d851cca7334761da5	false
tree-sitter-embedded-template	0.25.0	tree_sitter_embedded_template-0.25.0-cp310-abi3-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	https://files.pythonhosted.org/packages/9f/97/ea3d1ea4b320fe66e0468b9f6602966e544c9fe641882484f9105e50ee0c/tree_sitter_embedded_template-0.25.0-cp310-abi3-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	a7c88c3dd8b94b3c9efe8ae071ff6b1b936a27ac5f6e651845c3b9631fa4c1c2	false
tree-sitter-language-pack	0.13.0	tree_sitter_language_pack-0.13.0-cp310-abi3-manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/72/9d/644db031047ab1a70fc5cb6a79a4d4067080fac628375b2320752d2d7b58/tree_sitter_language_pack-0.13.0-cp310-abi3-manylinux2014_x86_64.whl	0d4f261fce387ae040dae7e4d1c1aca63d84c88320afcc0961c123bec0be8377	false
tree-sitter-yaml	0.7.2	tree_sitter_yaml-0.7.2-cp310-abi3-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	https://files.pythonhosted.org/packages/72/92/c4b896c90d08deb8308fadbad2210fdcc4c66c44ab4292eac4e80acb4b61/tree_sitter_yaml-0.7.2-cp310-abi3-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	f1a5c60c98b6c4c037aae023569f020d0c489fad8dc26fdfd5510363c9c29a41	false
typer	0.23.0	typer-0.23.0-py3-none-any.whl	https://files.pythonhosted.org/packages/7a/ed/d6fca788b51d0d4640c4bc82d0e85bad4b49809bca36bf4af01b4dcb66a7/typer-0.23.0-py3-none-any.whl	79f4bc262b6c37872091072a3cb7cb6d7d79ee98c0c658b4364bdcde3c42c913	false
typer-slim	0.23.0	typer_slim-0.23.0-py3-none-any.whl	https://files.pythonhosted.org/packages/07/3e/ba3a222c80ee070d9497ece3e1fe77253c142925dd4c90f04278aac0a9eb/typer_slim-0.23.0-py3-none-any.whl	1d693daf22d998a7b1edab8413cdcb8af07254154ce3956c1664dc11b01e2f8b	false
typing-inspection	0.4.2	typing_inspection-0.4.2-py3-none-any.whl	https://files.pythonhosted.org/packages/dc/9b/47798a6c91d8bdb567fe2698fe81e0c6b7cb7ef4d13da4114b41d239f65d/typing_inspection-0.4.2-py3-none-any.whl	4ed1cacbdc298c220f1bd249ed5287caa16f34d44ef4e9c3d0cbad5b521545e7	false
typing_extensions	4.15.0	typing_extensions-4.15.0-py3-none-any.whl	https://files.pythonhosted.org/packages/18/67/36e9267722cc04a6b9f15c7f3441c2363321a3ea07da7ae0c0707beb2a9c/typing_extensions-4.15.0-py3-none-any.whl	f0fa19c6845758ab08074a0cfa8b7aecb71c999ca73d62883bc25cc018c4e548	false
urllib3	2.6.3	urllib3-2.6.3-py3-none-any.whl	https://files.pythonhosted.org/packages/39/08/aaaad47bc4e9dc8c725e68f9d04865dbcb2052843ff09c97b08904852d84/urllib3-2.6.3-py3-none-any.whl	bf272323e553dfb2e87d9bfd225ca7b0f467b919d7bbd355436d3fd37cb0acd4	false
watchfiles	1.1.1	watchfiles-1.1.1-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/cf/68/5707da262a119fb06fbe214d82dd1fe4a6f4af32d2d14de368d0349eb52a/watchfiles-1.1.1-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	1db5d7ae38ff20153d542460752ff397fcf5c96090c1230803713cf3147a6803	false
wcwidth	0.6.0	wcwidth-0.6.0-py3-none-any.whl	https://files.pythonhosted.org/packages/68/5a/199c59e0a824a3db2b89c5d2dade7ab5f9624dbf6448dc291b46d5ec94d3/wcwidth-0.6.0-py3-none-any.whl	1a3a1e510b553315f8e146c54764f4fb6264ffad731b3d78088cdb1478ffbdad	false
yarl	1.22.0	yarl-1.22.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/db/0f/0d52c98b8a885aeda831224b78f3be7ec2e1aa4a62091f9f9188c3c65b56/yarl-1.22.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	50678a3b71c751d58d7908edc96d332af328839eea883bb554a43f539101277a	false
zipp	3.23.0	zipp-3.23.0-py3-none-any.whl	https://files.pythonhosted.org/packages/2e/54/647ade08bf0db230bfea292f893923872fd20be6ac6f53b2b936ba839d75/zipp-3.23.0-py3-none-any.whl	071652d6115ed432f5ce1d34c336c0adfd6a884660d1e9712a256d3d3bd4b14e	false
