adduser	3.137ubuntu1
libtasn1-6	4.19.0-3ubuntu0.24.04.2
libtext-charwidth-perl	0.04-11build3
libtext-iconv-perl	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai0	0.1.29-2build1
libthai-data	0.1.29-2build1
libtie-ixhash-perl	1.23-4
libtiff6	4.5.1+git230720-4ubuntu2.5
libtimedate-perl	2.3300-2
libtinfo6	6.4+20240113-1ubuntu2.1
libtry-tiny-perl	0.31-2
libudev1	255.4-1ubuntu8.17
libunistring5	1.1-2build1.1
libunwind8	1.6.2-3build1.1
liburi-perl	5.27-1
libuuid1	2.39.3-9ubuntu6.5
libvulkan1	1.3.275.0-1build1
libwayland-client0	1.22.0-2.1build1
libwayland-cursor0	1.22.0-2.1build1
libwayland-egl1	1.22.0-2.1build1
libwebp7	1.3.2-0.4build3
libwww-perl	6.76-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1	2:1.8.7-1build1
libxau6	1:1.0.9-1build6
libxaw7	2:1.0.14-1build2
libxcb1	1.15-1ubuntu2
libxcb-dri3-0	1.15-1ubuntu2
libxcb-glx0	1.15-1ubuntu2
libxcb-present0	1.15-1ubuntu2
libxcb-randr0	1.15-1ubuntu2
libxcb-render0	1.15-1ubuntu2
libxcb-shape0	1.15-1ubuntu2
libxcb-shm0	1.15-1ubuntu2
libxcb-sync1	1.15-1ubuntu2
libxcb-xfixes0	1.15-1ubuntu2
libxcomposite1	1:0.4.5-1build3
libxcursor1	1:1.2.1-1build1
libxdamage1	1:1.1.6-1build1
libxdmcp6	1:1.1.3-0ubuntu6
libxext6	2:1.3.4-1build2
libxfixes3	1:6.0.0-2build1
libxfont2	1:2.0.6-1+deb13u1build0.24.04.2
libxft2	2.3.6-1build1
libxi6	2:1.8.1-1build1
libxinerama1	2:1.1.4-3build1
libxkbcommon0	1.6.0-1build1
libxkbfile1	1:1.1.0-1build4
libxml2	2.9.14+dfsg-1.3ubuntu3.8
libxml-parser-perl	2.47-1ubuntu0.24.04.1
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxmu6	2:1.1.3-3build2
libxmuu1	2:1.1.3-3build2
libxpm4	1:3.5.17-1ubuntu0.24.04.1
libxrandr2	2:1.5.2-2build1
libxrender1	1:0.9.10-1.1build1
libxshmfence1	1.3-1build5
libxt6t64	1:1.2.1-1.2build1
libxtst6	2:1.2.3-1.1build1
libxv1	2:1.0.11-1.1build1
libxxf86dga1	2:1.1.5-1build1
libxxf86vm1	1:1.1.4-1build4
libxxhash0	0.8.2-2build1
libzstd1	1.5.5+dfsg2-2build1.1
lsb-base	11.6
media-types	10.1.0
mesa-libgallium	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers	25.2.8-0ubuntu0.24.04.2
mount	2.39.3-9ubuntu6.5
netbase	6.4
networkd-dispatcher	2.2.4-1
openssl	3.0.13-0ubuntu3.15
passwd	1:4.13+dfsg1-4ubuntu3.2
perl	5.38.2-3.2ubuntu0.4
perl-base	5.38.2-3.2ubuntu0.4
perl-modules-5.38	5.38.2-3.2ubuntu0.4
perl-openssl-defaults	7build3
procps	2:4.0.4-4ubuntu3.3
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
python3.12	3.12.3-1ubuntu0.16
python3.12-minimal	3.12.3-1ubuntu0.16
python3	3.12.3-0ubuntu2.1
python3-dbus	1.3.2-5build3
python3-gi	3.48.2-1
python3-minimal	3.12.3-0ubuntu2.1
readline-common	8.2-4build1
sensible-utils	0.0.22
session-migration	0.3.9build1
shared-mime-info	2.4-4
systemd	255.4-1ubuntu8.17
systemd-dev	255.4-1ubuntu8.17
systemd-resolved	255.4-1ubuntu8.17
systemd-sysv	255.4-1ubuntu8.17
systemd-timesyncd	255.4-1ubuntu8.17
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3ubuntu0.4
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
ubuntu-mono	24.04-0ubuntu1
uuid-runtime	2.39.3-9ubuntu6.5
wget	1.21.4-1ubuntu4.5
x11-common	1:7.7+23ubuntu3
x11-utils	7.7+6build2
x11-xkb-utils	7.7+8build2
x11-xserver-utils	7.7+10build2
xauth	1:1.1.2-1build1
xdg-user-dirs	0.18-1build1
xdg-utils	1.1.3-4.1ubuntu3
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-utils	1:7.7+6build3
xkb-data	2.41-2ubuntu1.1
xserver-common	2:21.1.12-1ubuntu1.6
xvfb	2:21.1.12-1ubuntu1.6
zlib1g	1:1.3.dfsg-3.1ubuntu2.1
zutty	0.14.8.20231210+dfsg1-1
